acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2420,-16596,-2060,-886,-47,-172,2025-01-29 11:10:38
-2508,-16444,-2168,-896,80,-180,2025-01-29 11:10:38
-2544,-16684,-1592,-916,193,-121,2025-01-29 11:10:38
-2464,-16472,-2052,-1106,-130,-186,2025-01-29 11:10:38
-2624,-16532,-1920,-934,-256,-179,2025-01-29 11:10:38
-2468,-16444,-2176,-1043,-54,-216,2025-01-29 11:10:38
-2488,-16548,-1856,-1090,158,-179,2025-01-29 11:10:39
-2532,-16636,-1756,-1169,72,-139,2025-01-29 11:10:39
-2452,-16464,-2196,-1330,-160,-253,2025-01-29 11:10:39
-2360,-16504,-2208,-1092,186,-237,2025-01-29 11:10:39
-2752,-16660,-1852,-1443,1092,54,2025-01-29 11:10:39
-2100,-16784,-2100,-1425,-211,-298,2025-01-29 11:10:39
-2240,-16384,-3004,-1093,-281,-74,2025-01-29 11:10:39
-2608,-16384,-2292,-932,577,-118,2025-01-29 11:10:39
-2484,-16480,-2316,-1310,-213,-222,2025-01-29 11:10:39
-2200,-16792,-2676,-1113,117,-176,2025-01-29 11:10:39
-2380,-16476,-2664,-844,144,-148,2025-01-29 11:10:39
-2260,-16576,-2508,-1000,-66,-154,2025-01-29 11:10:39
-2440,-16504,-2668,-920,129,-182,2025-01-29 11:10:40
-2416,-16472,-2500,-988,42,-152,2025-01-29 11:10:40
-2388,-16468,-2564,-903,-145,-142,2025-01-29 11:10:40
-2260,-16608,-2528,-970,-4,-139,2025-01-29 11:10:40
-2276,-16572,-2608,-941,59,-150,2025-01-29 11:10:40
-2464,-16500,-2552,-879,-90,-137,2025-01-29 11:10:40
-2460,-16580,-2568,-862,64,-124,2025-01-29 11:10:40
-2380,-16560,-2632,-791,-64,-108,2025-01-29 11:10:40
-2280,-16376,-2836,-872,-198,-124,2025-01-29 11:10:40
-2356,-16592,-2440,-780,-25,-105,2025-01-29 11:10:40
-2532,-16496,-2292,-936,-128,-40,2025-01-29 11:10:40
-2188,-16476,-2692,-1023,-379,-97,2025-01-29 11:10:40
-2376,-16400,-2564,-1138,-478,-292,2025-01-29 11:10:41
-2624,-16480,-2436,-885,269,-132,2025-01-29 11:10:41
-2780,-16516,-2256,-867,184,-86,2025-01-29 11:10:41
-2296,-16728,-2976,-862,-219,-84,2025-01-29 11:10:41
-2572,-16364,-2548,-808,97,-168,2025-01-29 11:10:41
-2136,-16572,-2700,-729,-172,-124,2025-01-29 11:10:41
-2348,-16484,-2348,-692,473,-88,2025-01-29 11:10:41
-2616,-16492,-2124,-987,36,-216,2025-01-29 11:10:41
-2408,-16444,-2872,-890,-433,-161,2025-01-29 11:10:41
-2364,-16440,-2676,-737,-272,-136,2025-01-29 11:10:41
-2548,-16520,-2340,-840,-120,-133,2025-01-29 11:10:41
-2412,-16640,-2244,-1006,-188,-190,2025-01-29 11:10:42
-2356,-16536,-2608,-1031,-76,-160,2025-01-29 11:10:42
-2440,-16520,-2544,-900,-244,-182,2025-01-29 11:10:42
-2240,-16444,-2556,-829,-165,-124,2025-01-29 11:10:42
-2412,-16620,-2304,-866,216,-149,2025-01-29 11:10:42
-2360,-16448,-2816,-864,-60,-126,2025-01-29 11:10:42
-2372,-16440,-2700,-923,-63,-191,2025-01-29 11:10:42
-2340,-16400,-2472,-685,-55,-95,2025-01-29 11:10:42
-2424,-16516,-2340,-861,-1,-143,2025-01-29 11:10:42
-2604,-16608,-2464,-982,-191,-162,2025-01-29 11:10:42
-2376,-16512,-2420,-931,-199,-113,2025-01-29 11:10:42
-2548,-16420,-2484,-834,-118,-139,2025-01-29 11:10:43
-2248,-16448,-2664,-914,-342,-175,2025-01-29 11:10:43
-2440,-16540,-2264,-992,-20,-168,2025-01-29 11:10:43
-2396,-16500,-2612,-848,24,-97,2025-01-29 11:10:43
-2460,-16368,-2676,-965,-28,-135,2025-01-29 11:10:43
-2512,-16544,-2644,-880,-120,-187,2025-01-29 11:10:43
-2480,-16584,-2564,-901,-13,-114,2025-01-29 11:10:43
-2164,-16524,-2504,-860,83,-144,2025-01-29 11:10:43
-2348,-16528,-2368,-854,76,-152,2025-01-29 11:10:43
-2528,-16460,-2536,-873,-284,-131,2025-01-29 11:10:43
-2412,-16468,-2276,-869,-117,-180,2025-01-29 11:10:43
-2492,-16540,-2220,-945,-99,-127,2025-01-29 11:10:43
-2284,-16572,-2400,-992,9,-169,2025-01-29 11:10:43
-2232,-16524,-2408,-889,266,-159,2025-01-29 11:10:44
-2472,-16496,-2660,-814,117,-134,2025-01-29 11:10:44
-2476,-16444,-2556,-858,-85,-139,2025-01-29 11:10:44
-2340,-16560,-2348,-863,12,-130,2025-01-29 11:10:44
-2468,-16568,-2328,-916,210,-126,2025-01-29 11:10:44
-2440,-16452,-2332,-983,55,-156,2025-01-29 11:10:44
-2496,-16576,-2344,-1075,58,-190,2025-01-29 11:10:44
-2432,-16524,-2624,-1042,-54,-167,2025-01-29 11:10:44
-2168,-16576,-2804,-852,2,-174,2025-01-29 11:10:44
-2476,-16448,-2304,-779,193,-135,2025-01-29 11:10:44
-2420,-16464,-2296,-1086,-251,-198,2025-01-29 11:10:44
-2232,-16572,-2696,-958,-180,-133,2025-01-29 11:10:44
-2464,-16540,-2556,-1051,96,-160,2025-01-29 11:10:44
-2264,-16636,-2452,-996,-86,-147,2025-01-29 11:10:44
-2268,-16476,-2400,-910,431,-92,2025-01-29 11:10:45
-2340,-16496,-2596,-817,122,-142,2025-01-29 11:10:45
