acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
2636,-16596,-2300,-853,1335,-48,2025-01-29 10:57:42
2872,-16900,-1624,-920,-510,-153,2025-01-29 10:57:42
3148,-17684,-1456,-244,-319,649,2025-01-29 10:57:42
3108,-15528,-2588,301,506,946,2025-01-29 10:57:42
2660,-16308,-2712,-1604,752,1210,2025-01-29 10:57:42
1348,-16892,-2276,-1454,-1886,1260,2025-01-29 10:57:42
1436,-17756,-796,-2587,-1303,-630,2025-01-29 10:57:42
-88,-16940,-1436,-1367,5133,247,2025-01-29 10:57:42
1176,-16088,-2212,-2195,2286,-3,2025-01-29 10:57:43
1892,-16496,-456,-3927,919,-1377,2025-01-29 10:57:43
2560,-16188,-2344,-4568,2617,-1366,2025-01-29 10:57:43
476,-17672,-1828,-3619,5636,-1486,2025-01-29 10:57:43
-608,-19484,-1896,-1693,6749,-1834,2025-01-29 10:57:43
-1448,-21364,-1592,4160,-544,-1225,2025-01-29 10:57:43
5540,-16892,-2712,12978,-2482,794,2025-01-29 10:57:43
3684,-15892,-3196,14141,-1797,-1308,2025-01-29 10:57:43
2384,-17868,-1564,10677,-6070,3394,2025-01-29 10:57:43
3060,-13548,2412,6716,-6374,4108,2025-01-29 10:57:43
3476,-12128,1924,-1938,-5134,3619,2025-01-29 10:57:43
1580,-12652,4908,-8634,1307,1153,2025-01-29 10:57:43
68,-19296,7840,-3595,-3386,1417,2025-01-29 10:57:44
856,-15736,3748,111,-3149,1596,2025-01-29 10:57:44
9784,-32768,4004,-1229,2720,-1202,2025-01-29 10:57:44
4468,-5544,-1420,-14191,3640,-1966,2025-01-29 10:57:44
340,-18436,-1392,-6600,249,-1106,2025-01-29 10:57:44
2140,-16528,-544,-8231,1325,-1373,2025-01-29 10:57:44
2528,-16160,-2644,-9273,-217,-2201,2025-01-29 10:57:44
1276,-16528,-2300,-8706,371,-1632,2025-01-29 10:57:44
1692,-14496,-4052,-9807,869,-2735,2025-01-29 10:57:44
2560,-14736,-6316,-12523,-1537,-3031,2025-01-29 10:57:44
952,-13964,-4760,-11001,-2190,-2444,2025-01-29 10:57:44
3960,-15884,-6280,-12400,-1957,-3612,2025-01-29 10:57:44
1512,-11172,-6744,-14297,2901,-2982,2025-01-29 10:57:45
3208,-4036,-2060,-13404,5851,-6688,2025-01-29 10:57:45
-4076,-2608,-552,-18145,-3037,-9613,2025-01-29 10:57:45
-1032,-32768,-32768,-28036,2273,-6805,2025-01-29 10:57:45
30708,21944,-32768,-17983,6848,-8582,2025-01-29 10:57:45
7240,10476,-12992,2015,-14551,-3685,2025-01-29 10:57:45
5904,6344,-5204,5697,2547,-881,2025-01-29 10:57:45
7848,-2284,-12392,1499,1339,631,2025-01-29 10:57:45
6084,3696,-17116,3427,3974,1917,2025-01-29 10:57:45
11908,2900,-15492,3676,-473,3389,2025-01-29 10:57:45
8200,1132,-18108,303,-4572,708,2025-01-29 10:57:45
9356,-524,-16852,1559,-104,559,2025-01-29 10:57:45
8552,936,-17284,-1437,1070,-378,2025-01-29 10:57:46
8620,172,-15448,-1897,94,-580,2025-01-29 10:57:46
8948,832,-16300,-1034,646,-287,2025-01-29 10:57:46
8480,888,-15960,-613,228,-47,2025-01-29 10:57:46
8748,736,-16296,-673,-84,27,2025-01-29 10:57:46
8820,500,-16332,-909,-233,-84,2025-01-29 10:57:46
